transaction_id,sender_upi,receiver_upi,sender_bank,receiver_bank,amount,timestamp,device_id,location_lat,location_long,txn_type,channel,vpa_age_days,num_prev_txns_24h,avg_amount_7d,failed_pin_attempts,is_recipient_new,same_device_flag,merchant_category
txn_1000000,7631745690@oksbi,9380159037@upi,SBI,KOTAK,34.88,2025-09-25 09:36:17,dev-ne957gjq3u,28.006497,77.31541,payment,app,22,0,29.06,0,0,1,grocery
txn_1000001,9707047580@oksbi,6099202118@phonepe,SBI,AXIS,8.13,2025-09-10 01:58:50,dev-txp37axxiv,28.742667,77.486184,payment,app,671,2,2.53,0,0,1,bill_payment
txn_1000002,6496336833@okaxis,7560285542@oksbi,AXIS,SBI,73.35,2025-07-09 20:08:11,dev-1a9bquimkp,28.494783,77.355099,payment,app,370,0,98.01,0,0,1,bill_payment
txn_1000003,8825751611@upi,7006420950@upi,HDFC,SBI,7.79,2025-09-24 22:18:12,dev-ausurc5joe,28.166829,77.474741,payment,app,299,1,3.57,1,0,1,travel
txn_1000004,7022428039@upi,7301052648@amazonpay,HDFC,KOTAK,12.44,2025-10-02 22:00:03,dev-svnnp6ml66,29.450033,77.227771,payment,app,440,0,19.23,1,0,1,electronics
txn_1000005,6260107472@bhim,6675617460@okutib,UTIB,UTIB,90.98,2025-09-21 06:38:47,dev-66htpuzwr4,28.449963,76.725649,payment,app,184,1,54.77,0,0,1,grocery
txn_1000006,7781642850@bhim,9463794888@phonepe,IDBI,ICICI,92.84,2025-08-26 11:34:31,dev-rz9hq460dv,29.04297,77.837667,payment,app,172,0,106.21,0,0,1,others
txn_1000007,7512337093@okaxis,8302458880@okutib,AXIS,UTIB,93.48,2025-10-03 22:45:43,dev-rashcyesr4,28.767095,77.066544,payment,app,392,1,123.4,0,0,1,utilities
txn_1000008,7304877482@oksbi,8085178811@paytm,SBI,AXIS,159.42,2025-08-06 23:53:17,dev-w0jymp7vqw,27.860633,77.186363,payment,qr,8,4,76.17,0,0,1,fashion
txn_1000009,8744085824@upi,7947173990@upi,BOB,SBI,23.67,2025-09-23 06:46:04,dev-a2j14sc9o6,29.16251,76.791786,payment,app,129,3,44.23,0,0,1,food_delivery
txn_1000010,7284659465@oksbi,7121207517@upi,SBI,PNB,11.38,2025-09-20 09:50:58,dev-4fuzs1hnxz,28.04545,76.738263,payment,app,1017,0,1.0,0,0,1,utilities
txn_1000011,6958151376@okaxis,8860156286@amazonpay,AXIS,YES,36.71,2025-09-22 23:39:11,dev-jbfh9ygwsv,29.404363,78.222791,payment,app,1237,2,36.77,0,0,1,fashion
txn_1000012,7074894412@upi,7860210874@upi,AXIS,HDFC,264.92,2025-10-01 22:25:22,dev-83l8kdy5t4,28.30802,77.377741,payment,app,372,1,230.04,1,0,1,bill_payment
txn_1000013,8172516389@upi,6672419678@okpnb,IDBI,PNB,72.88,2025-10-01 09:20:24,dev-ighgcqbo2v,28.593047,77.009267,payment,app,319,1,77.59,0,0,1,travel
txn_1000014,9086235265@okpnb,6432902266@upi,PNB,SBI,151.38,2025-09-29 18:26:07,dev-aga5i2zw26,27.429554,77.427674,payment,app,150,1,146.91,0,0,0,food_delivery
txn_1000015,6675062576@upi,9958800079@upi,IDBI,HDFC,143.62,2025-07-28 03:44:50,dev-3g92xd2e23,28.860889,77.531039,payment,app,120,0,154.67,0,1,1,others
txn_1000016,6895427392@upi,6578541181@phonepe,HDFC,ICICI,7.79,2025-09-23 21:05:30,dev-tbx40bndm9,29.103129,77.554315,payment,app,384,2,3.56,0,0,1,food_delivery
txn_1000017,8143765129@paytm,6842175960@okbob,ICICI,BOB,47.29,2025-09-24 14:57:05,dev-5lm1afhdey,28.53136,77.637183,payment,app,202,1,37.6,0,0,1,food_delivery
txn_1000018,7611091685@okidbi,7199860813@paytm,IDBI,AXIS,135.17,2025-08-27 21:00:41,dev-jazlnyhd1g,28.650026,77.169306,payment,app,461,0,169.58,0,0,1,food_delivery
txn_1000019,8168258164@amazonpay,6683898321@amazonpay,PNB,HDFC,8.99,2025-10-01 14:25:53,dev-jfefyd58j7,28.779635,76.500532,payment,merchant_sdk,54,1,1.49,0,0,0,bill_payment
txn_1000020,7203197266@upi,9850702478@okidbi,UTIB,IDBI,29.66,2025-08-19 22:44:28,dev-j4fqrzphxm,28.068506,77.517532,payment,app,209,2,4.72,0,0,0,electronics
txn_1000021,8936740392@upi,7499516209@gpay,AXIS,BOB,26.44,2025-10-02 22:52:09,dev-55edvr8qxb,28.450112,76.336718,payment,app,357,4,14.26,0,0,1,recharge
txn_1000022,6768747929@upi,8348635969@okaxis,IDBI,AXIS,93.6,2025-09-19 21:35:12,dev-lmlujt91xe,28.895699,77.835833,payment,merchant_sdk,479,0,97.24,0,0,1,utilities
txn_1000023,8405522226@upi,7199129626@upi,SBI,BOB,21.51,2025-10-02 11:07:40,dev-pxu9fendhx,28.954969,75.714303,payment,qr,323,0,9.79,0,1,1,utilities
txn_1000024,9761438905@paytm,8845887835@okaxis,KOTAK,AXIS,7.14,2025-09-26 19:14:16,dev-or837k0x8h,27.992775,76.569141,payment,app,708,2,3.01,0,0,1,utilities
txn_1000025,9223283577@upi,9445969635@bhim,SBI,KOTAK,113.76,2025-10-02 07:01:22,dev-zhpc5etn5z,28.996577,76.855936,request,app,55,0,93.76,0,0,1,recharge
txn_1000026,9233488907@upi,9016702687@okidbi,SBI,IDBI,36.38,2025-07-17 03:54:26,dev-0pf6rplt23,27.819556,77.329438,payment,merchant_sdk,1,0,24.27,1,1,1,travel
txn_1000027,8748933707@paytm,6031374060@upi,HDFC,ICICI,43.04,2025-10-06 02:07:49,dev-ukgeur8toe,28.847116,77.188802,payment,app,45,2,16.06,0,0,1,travel
txn_1000028,8084893431@okaxis,9073457763@upi,AXIS,AXIS,7.59,2025-09-04 03:31:56,dev-d0w2igdeek,29.047393,76.573926,payment,app,2915,0,6.76,0,0,1,electronics
txn_1000029,8283006618@upi,6422253740@okyes,ICICI,YES,14.97,2025-07-21 02:37:18,dev-ojtwabsnhl,28.029811,77.244883,payment,app,744,26,10.75,0,0,1,utilities
txn_1000030,8299743880@upi,7746094291@paytm,ICICI,AXIS,54.47,2025-08-28 17:51:24,dev-hnjc2owwrs,28.342097,76.461229,payment,app,62,2,54.14,0,0,1,grocery
txn_1000031,7123556461@upi,6970195092@okutib,SBI,UTIB,16.34,2025-09-07 22:00:57,dev-ov3778sh61,28.72999,77.203242,payment,qr,99,29,120.95,0,0,1,recharge
txn_1000032,8187426128@upi,9324282145@bhim,PNB,YES,140.72,2025-10-03 23:49:33,dev-zvuamuiqu4,28.641401,77.405115,payment,collect,54,1,24.54,0,0,1,food_delivery
txn_1000033,9942764924@phonepe,8940593371@okhdfcbank,AXIS,HDFC,23.75,2025-09-13 06:30:56,dev-e7pgpg0nn6,29.189144,76.956895,payment,app,246,28,35.84,0,0,1,fashion
txn_1000034,9042751664@paytm,9408313813@okicici,YES,ICICI,61.73,2025-09-29 00:08:28,dev-s13gzknuhc,28.60655,78.143372,payment,qr,101,0,47.31,1,0,1,grocery
txn_1000035,6980097558@upi,8373176388@oksbi,SBI,SBI,9.83,2025-10-02 17:29:41,dev-n32hlzbnf4,27.51462,77.95533,payment,collect,731,25,120.6,0,0,1,food_delivery
txn_1000036,9777701382@upi,7567625493@okpnb,HDFC,PNB,170.8,2025-09-26 10:41:37,dev-o4iyyuivwd,28.295479,76.432358,payment,app,323,1,227.67,0,0,1,others
txn_1000037,9921402023@okicici,8440739410@okhdfcbank,ICICI,HDFC,27.11,2025-09-28 02:08:52,dev-6am0ff638w,28.501998,77.720883,payment,app,42,3,35.77,0,0,1,utilities
txn_1000038,8839150590@paytm,9745118259@upi,AXIS,AXIS,21.38,2025-09-18 08:37:59,dev-5ww8ox1ppf,27.930181,77.226136,payment,app,870,2,3.41,0,0,1,fashion
txn_1000039,8086512094@okyes,helpdesk9925@support,YES,KOTAK,13905.69,2025-09-22 00:10:56,dev-xqafe2lca0,28.065365,78.422232,request,collect,792,2,23.02,1,1,1,recharge
txn_1000040,7096117999@phonepe,6914752784@bhim,ICICI,HDFC,281.27,2025-09-29 14:48:15,dev-7ifrnsnq82,29.15326,77.346906,payment,app,123,1,33.45,0,0,1,travel
